Edad,ingreso anual,Consumo mensual,Localidad,Deuda,Antigüedad de la deuda (meses)
60,"$ 1.250.000,00 ",575000,zona 4,"$ 46.000,00 ",23
50,"$ 1.200.000,00 ",275001,zona 5,"$ 22.000,08 ",5
51,"$ 1.150.000,00 ",245001,zona 2,"$ 19.600,08 ",8
52,"$ 1.100.000,00 ",250002,zona 3,"$ 20.000,16 ",9
49,"$ 1.050.000,00 ",275002,zona 2,"$ 22.000,16 ",10
48,"$ 1.000.000,00 ",245002,zona 4,"$ 19.600,16 ",8
47,"$ 950.000,00 ",250003,zona 1,"$ 20.000,24 ",7
46,"$ 1.030.000,00 ",275003,zona 1,"$ 22.000,24 ",6
45,"$ 1.110.000,00 ",245003,zona 2,"$ 19.600,24 ",5
44,"$ 1.190.000,00 ",250004,zona 3,"$ 20.000,32 ",6
43,"$ 1.270.000,00 ",275004,zona 4,"$ 22.000,32 ",7
42,"$ 1.350.000,00 ",245004,zona 5,"$ 19.600,32 ",9
28,"$ 1.430.000,00 ",250005,zona 2,"$ 20.000,40 ",2
30,"$ 1.510.000,00 ",275005,zona 3,"$ 22.000,40 ",3
31,"$ 950.000,00 ",245005,zona 2,"$ 19.600,40 ",1
32,"$ 1.030.000,00 ",250006,zona 4,$ -   ,0
33,"$ 1.110.000,00 ",275006,zona 1,"$ 22.000,48 ",1
34,"$ 1.190.000,00 ",245006,zona 1,"$ 19.600,48 ",2
35,"$ 1.270.000,00 ",250007,zona 2,"$ 20.000,56 ",3
36,"$ 1.350.000,00 ",275007,zona 3,"$ 22.000,56 ",4
25,"$ 1.430.000,00 ",245007,zona 4,"$ 19.600,56 ",8
29,"$ 1.510.000,00 ",250008,zona 5,"$ 20.000,64 ",15
30,"$ 1.250.000,00 ",275008,zona 2,$ -   ,0
35,"$ 1.200.000,00 ",245008,zona 3,"$ 19.600,64 ",5
40,"$ 1.150.000,00 ",60000,zona 2,"$ 4.800,00 ",8
42,"$ 1.100.000,00 ",90000,zona 4,"$ 7.200,00 ",9
42,"$ 1.250.000,00 ",65000,zona 1,"$ 5.200,00 ",10
41,"$ 1.200.000,00 ",40000,zona 1,"$ 3.200,00 ",8
30,"$ 1.150.000,00 ",15000,zona 2,"$ 1.200,00 ",7
25,"$ 1.100.000,00 ",111000,zona 3,"$ 8.880,00 ",6
24,"$ 1.050.000,00 ",207000,zona 4,"$ 16.560,00 ",5
23,"$ 1.000.000,00 ",303000,zona 5,$ -   ,0
26,"$ 950.000,00 ",399000,zona 2,"$ 31.920,00 ",7
24,"$ 1.030.000,00 ",495000,zona 3,"$ 39.600,00 ",9
29,"$ 1.110.000,00 ",591000,zona 2,"$ 47.280,00 ",2
43,"$ 1.190.000,00 ",687000,zona 4,"$ 54.960,00 ",3
48,"$ 1.270.000,00 ",783000,zona 1,"$ 62.640,00 ",1
60,"$ 1.350.000,00 ",879000,zona 1,$ -   ,0
50,"$ 1.430.000,00 ",975000,zona 2,"$ 78.000,00 ",1
51,"$ 1.510.000,00 ",1071000,zona 3,"$ 85.680,00 ",2
52,"$ 1.250.000,00 ",1167000,zona 4,"$ 93.360,00 ",3
49,"$ 1.200.000,00 ",1263000,zona 5,"$ 101.040,00 ",4
48,"$ 1.150.000,00 ",275000,zona 2,"$ 22.000,00 ",8
47,"$ 1.100.000,00 ",305000,zona 3,"$ 24.400,00 ",15
46,"$ 1.050.000,00 ",335000,zona 2,"$ 26.800,00 ",23
45,"$ 1.000.000,00 ",365000,zona 4,"$ 29.200,00 ",5
44,"$ 950.000,00 ",395000,zona 1,"$ 31.600,00 ",8
43,"$ 1.030.000,00 ",425000,zona 1,"$ 34.000,00 ",9
42,"$ 1.110.000,00 ",455000,zona 2,"$ 36.400,00 ",10
28,"$ 1.190.000,00 ",485000,zona 3,"$ 38.800,00 ",8
30,"$ 1.270.000,00 ",515000,zona 4,"$ 41.200,00 ",7
31,"$ 1.350.000,00 ",545000,zona 5,"$ 43.600,00 ",6
32,"$ 1.430.000,00 ",575000,zona 2,"$ 46.000,00 ",5
33,"$ 1.510.000,00 ",275005,zona 3,"$ 22.000,40 ",6
34,"$ 950.000,00 ",245005,zona 2,"$ 19.600,40 ",7
35,"$ 1.030.000,00 ",250006,zona 4,"$ 20.000,48 ",9
36,"$ 1.110.000,00 ",275006,zona 1,"$ 22.000,48 ",2
25,"$ 1.190.000,00 ",245006,zona 1,"$ 19.600,48 ",3
29,"$ 1.270.000,00 ",250007,zona 2,"$ 20.000,56 ",1
30,"$ 1.350.000,00 ",275007,zona 3,$ -   ,0
35,"$ 1.430.000,00 ",245007,zona 4,"$ 19.600,56 ",1
40,"$ 1.510.000,00 ",250008,zona 5,"$ 20.000,64 ",2
42,"$ 1.250.000,00 ",275008,zona 2,"$ 22.000,64 ",3
42,"$ 1.200.000,00 ",245008,zona 3,"$ 19.600,64 ",4
41,"$ 1.150.000,00 ",60000,zona 2,"$ 4.800,00 ",8
30,"$ 1.100.000,00 ",90000,zona 4,"$ 7.200,00 ",15
25,"$ 1.250.000,00 ",65000,zona 1,$ -   ,0
24,"$ 1.200.000,00 ",40000,zona 1,"$ 3.200,00 ",5
23,"$ 1.150.000,00 ",15000,zona 2,"$ 1.200,00 ",8
26,"$ 1.100.000,00 ",111000,zona 3,"$ 8.880,00 ",9
24,"$ 1.050.000,00 ",207000,zona 4,"$ 16.560,00 ",10
29,"$ 1.000.000,00 ",303000,zona 5,"$ 24.240,00 ",8
43,"$ 950.000,00 ",399000,zona 2,"$ 31.920,00 ",7
48,"$ 1.030.000,00 ",495000,zona 3,"$ 39.600,00 ",6
60,"$ 1.110.000,00 ",591000,zona 2,"$ 47.280,00 ",5
50,"$ 1.190.000,00 ",687000,zona 4,$ -   ,0
51,"$ 1.270.000,00 ",783000,zona 1,"$ 62.640,00 ",7
52,"$ 1.350.000,00 ",879000,zona 1,"$ 70.320,00 ",9
49,"$ 1.430.000,00 ",975000,zona 2,"$ 78.000,00 ",2
48,"$ 1.510.000,00 ",1071000,zona 3,"$ 85.680,00 ",3
47,"$ 1.250.000,00 ",1167000,zona 4,"$ 93.360,00 ",1
46,"$ 1.200.000,00 ",1263000,zona 5,$ -   ,0
45,"$ 1.150.000,00 ",275000,zona 2,"$ 22.000,00 ",1
44,"$ 1.100.000,00 ",305000,zona 3,"$ 24.400,00 ",2
43,"$ 1.050.000,00 ",335000,zona 2,"$ 26.800,00 ",3
42,"$ 1.000.000,00 ",365000,zona 4,"$ 29.200,00 ",4
28,"$ 950.000,00 ",395000,zona 1,"$ 31.600,00 ",8
30,"$ 1.030.000,00 ",425000,zona 1,"$ 34.000,00 ",15
31,"$ 1.110.000,00 ",455000,zona 2,"$ 36.400,00 ",23
32,"$ 1.190.000,00 ",485000,zona 3,"$ 38.800,00 ",5
33,"$ 1.270.000,00 ",515000,zona 4,"$ 41.200,00 ",8
34,"$ 1.350.000,00 ",545000,zona 5,"$ 43.600,00 ",9
35,"$ 1.430.000,00 ",575000,zona 2,"$ 46.000,00 ",10
36,"$ 1.510.000,00 ",207000,zona 3,"$ 16.560,00 ",8
25,"$ 950.000,00 ",303000,zona 2,"$ 24.240,00 ",7
29,"$ 1.030.000,00 ",399000,zona 4,"$ 31.920,00 ",6
30,"$ 1.110.000,00 ",495000,zona 1,"$ 39.600,00 ",5
35,"$ 1.190.000,00 ",591000,zona 1,"$ 47.280,00 ",6
40,"$ 1.270.000,00 ",687000,zona 2,"$ 54.960,00 ",7
42,"$ 1.350.000,00 ",783000,zona 3,"$ 62.640,00 ",9
42,"$ 1.430.000,00 ",879000,zona 4,"$ 70.320,00 ",2
41,"$ 1.510.000,00 ",975000,zona 5,"$ 78.000,00 ",3
30,"$ 1.250.000,00 ",1071000,zona 2,"$ 85.680,00 ",1
25,"$ 1.200.000,00 ",1167000,zona 3,$ -   ,0
24,"$ 1.150.000,00 ",1263000,zona 2,"$ 101.040,00 ",1
23,"$ 1.100.000,00 ",275000,zona 4,"$ 22.000,00 ",2
26,"$ 1.250.000,00 ",305000,zona 1,"$ 24.400,00 ",3
24,"$ 1.200.000,00 ",335000,zona 1,"$ 26.800,00 ",4
29,"$ 1.150.000,00 ",365000,zona 2,"$ 29.200,00 ",8
43,"$ 1.100.000,00 ",395000,zona 3,"$ 31.600,00 ",15
48,"$ 1.050.000,00 ",425000,zona 4,$ -   ,0
60,"$ 1.000.000,00 ",455000,zona 5,"$ 36.400,00 ",5
50,"$ 950.000,00 ",207000,zona 2,"$ 16.560,00 ",8
51,"$ 1.030.000,00 ",303000,zona 3,"$ 24.240,00 ",9
52,"$ 1.110.000,00 ",399000,zona 2,"$ 31.920,00 ",10
49,"$ 1.190.000,00 ",495000,zona 4,"$ 39.600,00 ",8
48,"$ 1.270.000,00 ",591000,zona 1,"$ 47.280,00 ",7
47,"$ 1.350.000,00 ",687000,zona 1,"$ 54.960,00 ",6
46,"$ 1.430.000,00 ",783000,zona 2,"$ 62.640,00 ",5
45,"$ 1.510.000,00 ",879000,zona 3,$ -   ,0
44,"$ 1.250.000,00 ",975000,zona 4,"$ 78.000,00 ",7
43,"$ 1.200.000,00 ",1071000,zona 5,"$ 85.680,00 ",9
42,"$ 1.150.000,00 ",1167000,zona 2,$ -   ,0
28,"$ 1.100.000,00 ",1263000,zona 3,$ -   ,0
30,"$ 1.050.000,00 ",275000,zona 2,"$ 22.000,00 ",4
31,"$ 1.000.000,00 ",305000,zona 4,"$ 24.400,00 ",8
32,"$ 950.000,00 ",335000,zona 1,"$ 26.800,00 ",7
33,"$ 1.030.000,00 ",365000,zona 1,"$ 29.200,00 ",9
34,"$ 1.110.000,00 ",395000,zona 2,"$ 31.600,00 ",6
35,"$ 1.190.000,00 ",425000,zona 3,$ -   ,0
36,"$ 1.270.000,00 ",455000,zona 4,$ -   ,0
25,"$ 1.350.000,00 ",485000,zona 5,"$ 38.800,00 ",7
29,"$ 1.430.000,00 ",515000,zona 2,"$ 41.200,00 ",8
30,"$ 1.510.000,00 ",545000,zona 3,"$ 43.600,00 ",9
35,"$ 950.000,00 ",575000,zona 2,"$ 46.000,00 ",2
40,"$ 1.030.000,00 ",1071000,zona 4,"$ 85.680,00 ",3
42,"$ 1.110.000,00 ",1167000,zona 1,"$ 93.360,00 ",1
42,"$ 1.190.000,00 ",1263000,zona 1,$ -   ,0
41,"$ 1.270.000,00 ",275000,zona 2,"$ 22.000,00 ",1
30,"$ 1.350.000,00 ",305000,zona 3,"$ 24.400,00 ",2
25,"$ 1.430.000,00 ",335000,zona 4,"$ 26.800,00 ",3
24,"$ 1.510.000,00 ",365000,zona 5,"$ 29.200,00 ",4
23,"$ 1.250.000,00 ",395000,zona 2,"$ 31.600,00 ",8
26,"$ 1.200.000,00 ",425000,zona 3,"$ 34.000,00 ",15
24,"$ 1.150.000,00 ",455000,zona 2,"$ 36.400,00 ",23
29,"$ 1.100.000,00 ",485000,zona 4,"$ 38.800,00 ",5
43,"$ 1.250.000,00 ",515000,zona 1,"$ 41.200,00 ",8
48,"$ 1.200.000,00 ",545000,zona 1,"$ 43.600,00 ",9
60,"$ 1.150.000,00 ",575000,zona 2,"$ 46.000,00 ",10
50,"$ 1.100.000,00 ",585000,zona 3,"$ 46.800,00 ",8
51,"$ 1.050.000,00 ",635000,zona 4,"$ 50.800,00 ",7
52,"$ 1.000.000,00 ",685000,zona 5,"$ 54.800,00 ",6
49,"$ 950.000,00 ",207000,zona 2,"$ 16.560,00 ",5
48,"$ 1.030.000,00 ",303000,zona 3,"$ 24.240,00 ",6
47,"$ 1.110.000,00 ",399000,zona 2,"$ 31.920,00 ",7
46,"$ 1.190.000,00 ",495000,zona 4,"$ 39.600,00 ",9
45,"$ 1.270.000,00 ",591000,zona 1,"$ 47.280,00 ",2
44,"$ 1.350.000,00 ",687000,zona 1,"$ 54.960,00 ",3
43,"$ 1.430.000,00 ",783000,zona 2,"$ 62.640,00 ",1
42,"$ 1.510.000,00 ",879000,zona 3,$ -   ,0
28,"$ 1.250.000,00 ",975000,zona 4,"$ 78.000,00 ",1
30,"$ 1.200.000,00 ",1071000,zona 5,"$ 85.680,00 ",2
31,"$ 1.150.000,00 ",1167000,zona 2,"$ 93.360,00 ",3
32,"$ 1.100.000,00 ",1263000,zona 3,"$ 101.040,00 ",4
33,"$ 1.050.000,00 ",275000,zona 2,"$ 22.000,00 ",8
34,"$ 1.000.000,00 ",305000,zona 4,"$ 24.400,00 ",15
35,"$ 950.000,00 ",335000,zona 1,$ -   ,0
36,"$ 1.030.000,00 ",365000,zona 1,"$ 29.200,00 ",5
25,"$ 1.110.000,00 ",395000,zona 2,"$ 31.600,00 ",8
29,"$ 1.190.000,00 ",425000,zona 3,"$ 34.000,00 ",9
30,"$ 1.270.000,00 ",455000,zona 4,"$ 36.400,00 ",10
35,"$ 1.350.000,00 ",485000,zona 5,"$ 38.800,00 ",8
40,"$ 1.430.000,00 ",515000,zona 2,"$ 41.200,00 ",7
42,"$ 1.510.000,00 ",545000,zona 3,"$ 43.600,00 ",6
42,"$ 950.000,00 ",575000,zona 2,"$ 46.000,00 ",5
41,"$ 1.030.000,00 ",275000,zona 4,$ -   ,0
30,"$ 1.110.000,00 ",305000,zona 1,"$ 24.400,00 ",7
25,"$ 1.190.000,00 ",335000,zona 1,"$ 26.800,00 ",9
24,"$ 1.270.000,00 ",365000,zona 2,"$ 29.200,00 ",2
23,"$ 1.350.000,00 ",395000,zona 3,"$ 31.600,00 ",3
26,"$ 1.430.000,00 ",425000,zona 4,"$ 34.000,00 ",1
24,"$ 1.510.000,00 ",455000,zona 5,$ -   ,0
29,"$ 1.250.000,00 ",485000,zona 2,"$ 38.800,00 ",1
43,"$ 1.200.000,00 ",515000,zona 3,"$ 41.200,00 ",2
48,"$ 1.150.000,00 ",545000,zona 2,"$ 43.600,00 ",3
60,"$ 1.100.000,00 ",575000,zona 4,"$ 46.000,00 ",4
50,"$ 1.250.000,00 ",207000,zona 1,"$ 16.560,00 ",8
51,"$ 1.200.000,00 ",303000,zona 1,"$ 24.240,00 ",15
52,"$ 1.150.000,00 ",399000,zona 2,"$ 31.920,00 ",23
49,"$ 1.100.000,00 ",495000,zona 3,"$ 39.600,00 ",5
48,"$ 1.050.000,00 ",591000,zona 4,"$ 47.280,00 ",8
47,"$ 1.000.000,00 ",687000,zona 5,"$ 54.960,00 ",9
46,"$ 950.000,00 ",783000,zona 2,"$ 62.640,00 ",10
45,"$ 1.030.000,00 ",879000,zona 3,"$ 70.320,00 ",8
44,"$ 1.110.000,00 ",975000,zona 2,"$ 78.000,00 ",7
43,"$ 1.190.000,00 ",1071000,zona 4,"$ 85.680,00 ",6
42,"$ 1.270.000,00 ",1167000,zona 1,"$ 93.360,00 ",5
28,"$ 1.350.000,00 ",1263000,zona 1,"$ 101.040,00 ",6
30,"$ 1.430.000,00 ",275000,zona 2,"$ 22.000,00 ",7
31,"$ 1.510.000,00 ",305000,zona 3,"$ 24.400,00 ",9
32,"$ 1.250.000,00 ",335000,zona 4,"$ 26.800,00 ",2
33,"$ 1.200.000,00 ",365000,zona 5,"$ 29.200,00 ",3
34,"$ 1.150.000,00 ",395000,zona 2,"$ 31.600,00 ",1
35,"$ 1.100.000,00 ",425000,zona 3,$ -   ,0
36,"$ 1.050.000,00 ",455000,zona 2,"$ 36.400,00 ",1
25,"$ 1.000.000,00 ",485000,zona 4,"$ 38.800,00 ",2
29,"$ 950.000,00 ",515000,zona 1,"$ 41.200,00 ",3
30,"$ 1.030.000,00 ",545000,zona 1,"$ 43.600,00 ",4
35,"$ 1.110.000,00 ",575000,zona 2,"$ 46.000,00 ",8
40,"$ 1.190.000,00 ",395000,zona 3,"$ 31.600,00 ",15
42,"$ 1.270.000,00 ",425000,zona 4,$ -   ,0
42,"$ 1.350.000,00 ",455000,zona 5,"$ 36.400,00 ",5
41,"$ 1.430.000,00 ",485000,zona 2,"$ 38.800,00 ",8
30,"$ 1.510.000,00 ",515000,zona 3,"$ 41.200,00 ",9
25,"$ 950.000,00 ",545000,zona 2,"$ 43.600,00 ",10
24,"$ 1.030.000,00 ",575000,zona 4,"$ 46.000,00 ",8
23,"$ 1.110.000,00 ",185000,zona 1,"$ 14.800,00 ",7
26,"$ 1.190.000,00 ",235000,zona 1,"$ 18.800,00 ",6
24,"$ 1.270.000,00 ",285000,zona 2,"$ 22.800,00 ",5
29,"$ 1.350.000,00 ",35000,zona 3,$ -   ,0
43,"$ 1.430.000,00 ",85000,zona 4,"$ 6.800,00 ",7
48,"$ 1.510.000,00 ",135000,zona 5,"$ 10.800,00 ",9
60,"$ 1.250.000,00 ",185000,zona 2,"$ 14.800,00 ",2
50,"$ 1.200.000,00 ",235000,zona 3,"$ 18.800,00 ",3
51,"$ 1.150.000,00 ",285000,zona 2,"$ 22.800,00 ",1
52,"$ 1.100.000,00 ",335000,zona 4,$ -   ,0
49,"$ 1.250.000,00 ",385000,zona 1,"$ 30.800,00 ",1
48,"$ 1.200.000,00 ",435000,zona 1,"$ 34.800,00 ",2
47,"$ 1.150.000,00 ",485000,zona 2,"$ 38.800,00 ",3
46,"$ 1.100.000,00 ",535000,zona 3,"$ 42.800,00 ",4
45,"$ 1.050.000,00 ",585000,zona 4,"$ 46.800,00 ",8
44,"$ 1.000.000,00 ",635000,zona 5,"$ 50.800,00 ",15
43,"$ 950.000,00 ",685000,zona 2,"$ 54.800,00 ",23
42,"$ 1.030.000,00 ",735000,zona 3,"$ 58.800,00 ",5
28,"$ 1.110.000,00 ",785000,zona 2,"$ 62.800,00 ",8
30,"$ 1.190.000,00 ",835000,zona 4,"$ 66.800,00 ",9
31,"$ 1.270.000,00 ",885000,zona 1,"$ 70.800,00 ",10
32,"$ 1.350.000,00 ",935000,zona 1,"$ 74.800,00 ",8
33,"$ 1.430.000,00 ",985000,zona 2,"$ 78.800,00 ",7
34,"$ 1.510.000,00 ",303000,zona 3,"$ 24.240,00 ",6
35,"$ 1.250.000,00 ",399000,zona 4,"$ 31.920,00 ",5
36,"$ 1.200.000,00 ",495000,zona 5,"$ 39.600,00 ",6
25,"$ 1.150.000,00 ",591000,zona 2,"$ 47.280,00 ",7
29,"$ 1.100.000,00 ",687000,zona 3,"$ 54.960,00 ",9
30,"$ 1.050.000,00 ",783000,zona 2,"$ 62.640,00 ",2
35,"$ 1.000.000,00 ",879000,zona 4,"$ 70.320,00 ",3
40,"$ 950.000,00 ",975000,zona 1,"$ 78.000,00 ",1
42,"$ 1.030.000,00 ",1071000,zona 1,$ -   ,0
42,"$ 1.110.000,00 ",1167000,zona 2,"$ 93.360,00 ",1
41,"$ 1.190.000,00 ",1263000,zona 3,"$ 101.040,00 ",2
30,"$ 1.270.000,00 ",85000,zona 4,"$ 6.800,00 ",3
25,"$ 1.350.000,00 ",135000,zona 5,"$ 10.800,00 ",4
24,"$ 1.430.000,00 ",185000,zona 2,"$ 14.800,00 ",8
23,"$ 1.510.000,00 ",235000,zona 3,"$ 18.800,00 ",15
26,"$ 950.000,00 ",285000,zona 2,$ -   ,0
24,"$ 1.030.000,00 ",335000,zona 4,"$ 26.800,00 ",5
29,"$ 1.110.000,00 ",385000,zona 1,"$ 30.800,00 ",8
43,"$ 1.190.000,00 ",435000,zona 1,"$ 34.800,00 ",9
48,"$ 1.270.000,00 ",485000,zona 2,"$ 38.800,00 ",10
60,"$ 1.350.000,00 ",535000,zona 3,"$ 42.800,00 ",8
50,"$ 1.430.000,00 ",585000,zona 4,"$ 46.800,00 ",7
51,"$ 1.510.000,00 ",635000,zona 5,"$ 50.800,00 ",6
52,"$ 1.250.000,00 ",685000,zona 2,"$ 54.800,00 ",5
49,"$ 1.200.000,00 ",735000,zona 3,$ -   ,0
48,"$ 1.150.000,00 ",785000,zona 2,"$ 62.800,00 ",7
47,"$ 1.100.000,00 ",835000,zona 4,"$ 66.800,00 ",9
46,"$ 1.150.000,00 ",885000,zona 1,"$ 70.800,00 ",2
45,"$ 50.000,00 ",935000,zona 1,"$ 74.800,00 ",3
44,"$ 1.200.000,00 ",985000,zona 2,"$ 78.800,00 ",1
43,"$ 100.000,00 ",275000,zona 3,$ -   ,0
42,"$ 1.250.000,00 ",305000,zona 4,"$ 24.400,00 ",1
28,"$ 150.000,00 ",335000,zona 5,"$ 26.800,00 ",2
30,"$ 1.300.000,00 ",365000,zona 2,"$ 29.200,00 ",3
31,"$ 200.000,00 ",395000,zona 3,"$ 31.600,00 ",4
32,"$ 1.350.000,00 ",425000,zona 2,"$ 34.000,00 ",8
33,"$ 250.000,00 ",455000,zona 4,"$ 36.400,00 ",15
34,"$ 1.400.000,00 ",485000,zona 1,"$ 38.800,00 ",23
35,"$ 300.000,00 ",207000,zona 1,"$ 16.560,00 ",5
36,"$ 1.450.000,00 ",303000,zona 2,"$ 24.240,00 ",8
25,"$ 350.000,00 ",399000,zona 3,"$ 31.920,00 ",9
29,"$ 1.500.000,00 ",495000,zona 4,"$ 39.600,00 ",10
30,"$ 400.000,00 ",591000,zona 5,"$ 47.280,00 ",8
35,"$ 1.550.000,00 ",687000,zona 2,"$ 54.960,00 ",7
40,"$ 450.000,00 ",783000,zona 3,"$ 62.640,00 ",6
42,"$ 1.600.000,00 ",879000,zona 2,"$ 70.320,00 ",5
42,"$ 500.000,00 ",975000,zona 4,"$ 78.000,00 ",6
41,"$ 1.650.000,00 ",1071000,zona 1,"$ 85.680,00 ",7
30,"$ 550.000,00 ",1167000,zona 1,"$ 93.360,00 ",9
25,"$ 1.700.000,00 ",1263000,zona 2,"$ 101.040,00 ",2
24,"$ 600.000,00 ",275000,zona 3,"$ 22.000,00 ",3
23,"$ 600.000,00 ",305000,zona 4,"$ 24.400,00 ",1
26,"$ 1.150.000,00 ",335000,zona 5,$ -   ,0
24,"$ 50.000,00 ",365000,zona 2,"$ 29.200,00 ",1
29,"$ 1.200.000,00 ",395000,zona 3,"$ 31.600,00 ",2
43,"$ 100.000,00 ",425000,zona 2,"$ 34.000,00 ",3
48,"$ 1.250.000,00 ",455000,zona 4,"$ 36.400,00 ",4
60,"$ 150.000,00 ",485000,zona 1,"$ 38.800,00 ",8
50,"$ 1.300.000,00 ",515000,zona 1,"$ 41.200,00 ",15
51,"$ 200.000,00 ",545000,zona 2,$ -   ,0
52,"$ 1.350.000,00 ",575000,zona 3,"$ 46.000,00 ",5
49,"$ 250.000,00 ",585000,zona 4,"$ 46.800,00 ",8
48,"$ 1.400.000,00 ",635000,zona 5,"$ 50.800,00 ",9
47,"$ 300.000,00 ",685000,zona 2,"$ 54.800,00 ",10
46,"$ 1.450.000,00 ",735000,zona 3,"$ 58.800,00 ",8
45,"$ 350.000,00 ",785000,zona 2,"$ 62.800,00 ",7
44,"$ 1.500.000,00 ",835000,zona 4,"$ 66.800,00 ",6
43,"$ 400.000,00 ",885000,zona 1,"$ 70.800,00 ",5
42,"$ 1.550.000,00 ",935000,zona 1,$ -   ,0
28,"$ 450.000,00 ",985000,zona 2,"$ 78.800,00 ",7
30,"$ 1.600.000,00 ",35000,zona 3,"$ 2.800,00 ",9
31,"$ 500.000,00 ",85000,zona 4,$ -   ,0
32,"$ 1.650.000,00 ",135000,zona 5,$ -   ,0
33,"$ 550.000,00 ",185000,zona 2,"$ 14.800,00 ",4
34,"$ 1.700.000,00 ",235000,zona 3,"$ 18.800,00 ",8
35,"$ 600.000,00 ",285000,zona 2,"$ 22.800,00 ",7
36,"$ 1.150.000,00 ",335000,zona 4,"$ 26.800,00 ",9
25,"$ 50.000,00 ",385000,zona 1,"$ 30.800,00 ",6
29,"$ 1.200.000,00 ",435000,zona 1,$ -   ,0
30,"$ 100.000,00 ",485000,zona 2,$ -   ,0
35,"$ 1.250.000,00 ",535000,zona 3,"$ 42.800,00 ",7
